File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings																																		
Bill_m53_BB2015	T	Internal	t	b	2238.696	2238.795	HATED	2238.416	2238.856	EY	2238.576	2238.696	AH	2238.795	2238.836	1.39	5.036																																				
Bill_m53_BB2015	T	End	0		759.537	759.568	GET	759.487	759.568	IH	759.507	759.537	AA	759.568	759.657	1.101	7.266																																				
Bill_m53_BB2015	T	End	g		765.761	765.791	RIGHT	765.64	765.791	AY	765.681	765.761	AH	765.791	765.821	0.771	9.079																																				
Bill_m53_BB2015	T	Internal	t	b	2282.507	2282.607	HATED	2282.227	2282.767	EY	2282.367	2282.507	AH	2282.607	2282.658	2.049	3.416																																				
Bill_m53_BB2015	T	End	g		776.803	776.853	THAT	776.712	776.853	AH	776.762	776.803	AH	776.853	776.882	1.141	7.888																																				
Bill_m53_BB2015	T	Internal	t	b	1133.49	1133.59	HEATING'S	1133.31	1133.741	IY	1133.38	1133.49	IH	1133.59	1133.63	1.389	5.76																																				
Bill_m53_BB2015	T	Internal	g	m	394.374	394.404	HOGHTON	394.204	394.483	AO	394.284	394.374	AH	394.404	394.434	2.287	2.624																																				
Bill_m53_BB2015	T	End	g		806.85	806.881	RIGHT	806.68	806.881	AY	806.71	806.85	AH	806.881	806.911	1.35	5.926																																				
Bill_m53_BB2015	T	End	t		807.641	807.79	BUT	807.411	807.79	AH	807.52	807.641	AH	807.79	807.84	1.26	5.556																																				
Bill_m53_BB2015	T	End	f		816.197	816.247	IT	816.036	816.247	IH	816.036	816.197	IH	816.247	816.306	1.375	2.909																																				
Bill_m53_BB2015	T	End	f		816.486	816.516	WHAT	816.407	816.516	AH	816.456	816.486	AH	816.516	816.576	1.05	6.667																																				
Bill_m53_BB2015	T	End	f		816.576	816.627	IT	816.516	816.627	AH	816.516	816.576	IH	816.627	816.716	1.021	7.835																																				
Bill_m53_BB2015	T	End	f		817.747	817.777	THAT	817.676	817.777	AH	817.716	817.747	IH	817.777	817.807	0.99	8.081																																				
Bill_m53_BB2015	T	End	g		817.807	817.836	IT	817.777	817.836	IH	817.777	817.807	AH	817.836	817.866	0.931	8.593																																				
Bill_m53_BB2015	T	End	g		818.017	818.047	WHAT	817.947	818.047	AH	817.976	818.017	AH	818.047	818.097	0.78	8.974																																				
Bill_m53_BB2015	T	End	g		818.097	818.167	IT	818.047	818.167	AH	818.047	818.097	AH	818.167	818.257	0.84	8.333																																				
Bill_m53_BB2015	T	Internal	g	m	429.408	429.438	HOGHTON	429.289	429.549	AO	429.378	429.408	AH	429.438	429.489	1.131	7.958																																				
Bill_m53_BB2015	T	End	t		830.851	830.981	TOLERATE	830.49	830.981	EY	830.731	830.851	IH	830.981	831.031	1.59	6.918																																				
Bill_m53_BB2015	T	End	g		842.14	842.17	BUT	842.011	842.17	AH	842.111	842.14	AY	842.17	842.231	1.223	4.088																																				
Bill_m53_BB2015	T	End	g		874.658	874.687	NOT	874.448	874.687	AA	874.478	874.658	AH	874.687	874.717	2.248	2.669																																				
Bill_m53_BB2015	T	End	g		897.905	897.936	NOT	897.795	897.936	AA	897.865	897.905	EH	897.936	897.975	1.419	7.047																																				
Bill_m53_BB2015	T	End	t		898.376	898.485	CUT	898.265	898.485	AH	898.346	898.376	AW	898.485	898.645	1.389	7.199																																				
Bill_m53_BB2015	T	End	g		900.566	900.626	ABOUT	900.176	900.626	AW	900.285	900.566	AH	900.626	900.886	1.934	4.137																																				
